run_name,encoder,feature,model_family,fold_id,split,strategy,n_windows,n_stress,n_nonstress,threshold,n_fallback_subjects,auc,avg_precision,balanced_accuracy,sensitivity,specificity,mcc
run_cpu_families,dinov2,motion_prev_rgb,rnn_attn,3,train,population_norm,2020,1489,531,0.5499999999999999,0,0.9746679668479079,0.9910537089847782,0.8923998841472747,0.7998656816655474,0.9849340866290018,0.7033513177478617
run_cpu_families,dinov2,motion_prev_rgb,rnn_attn,3,val,population_norm,550,405,145,0.5499999999999999,0,0.6678075776926353,0.8167143941124909,0.6413367390378885,0.5654320987654321,0.7172413793103448,0.24913553545654793
run_cpu_families,dinov2,motion_prev_rgb,rnn_attn,3,test,population_norm,641,475,166,0.5499999999999999,0,0.743272035510463,0.8971674855713997,0.6496068484464173,0.5221052631578947,0.7771084337349398,0.263775764169089
run_cpu_families,dinov2,motion_prev_rgb,rnn_attn,3,test,subject_norm,641,475,166,0.5499999999999999,0,0.7417247939124921,0.8746943454261454,0.6605263157894736,0.8210526315789474,0.5,0.319809876485731
run_cpu_families,dinov2,motion_prev_rgb,rnn_attn,4,train,population_norm,2093,1554,539,0.35,0,0.8902885127374923,0.9590518350435604,0.7818073175216033,0.6248391248391248,0.9387755102040817,0.49331163108963644
run_cpu_families,dinov2,motion_prev_rgb,rnn_attn,4,val,population_norm,465,346,119,0.35,0,0.6702287851556809,0.8321464723863432,0.6272647787438674,0.6242774566473989,0.6302521008403361,0.22371038645304173
run_cpu_families,dinov2,motion_prev_rgb,rnn_attn,4,test,population_norm,653,469,184,0.35,0,0.6484889218503755,0.8456534110424301,0.6159381663113006,0.48187633262260127,0.75,0.2115947148982685
run_cpu_families,dinov2,motion_prev_rgb,rnn_attn,4,test,subject_norm,653,469,184,0.35,0,0.6548043941781775,0.8428773486885134,0.6410841753963104,0.4669509594882729,0.8152173913043478,0.2605633783332984
run_cpu_families,dinov2,motion_prev_rgb,rnn_attn,5,train,population_norm,2110,1565,545,0.7,0,0.9641117331535598,0.9877202940755352,0.7830670926517571,0.5661341853035143,1.0,0.5020734223172924
run_cpu_families,dinov2,motion_prev_rgb,rnn_attn,5,val,population_norm,477,348,129,0.7,0,0.7727434732246281,0.9114283615396198,0.7044573643410853,0.4166666666666667,0.9922480620155039,0.3941184862068027
run_cpu_families,dinov2,motion_prev_rgb,rnn_attn,5,test,population_norm,624,456,168,0.7,0,0.6243734335839599,0.8132230712987191,0.5592105263157895,0.3267543859649123,0.7916666666666666,0.11519423092481985
run_cpu_families,dinov2,motion_prev_rgb,rnn_attn,5,test,subject_norm,624,456,168,0.7,0,0.7261578425229741,0.8662688430317245,0.6702694235588973,0.5964912280701754,0.7440476190476191,0.30211285636205043
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,1,train,population_norm,2059,1519,540,0.3999999999999999,0,0.7055518981786262,0.8509998887817791,0.5732115426815887,0.22975641869651087,0.9166666666666666,0.16373068956218384
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,1,val,population_norm,498,361,137,0.3999999999999999,0,0.6346321046565704,0.8331450267531766,0.6168894190913319,0.40166204986149584,0.8321167883211679,0.2208042710219039
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,1,test,population_norm,654,489,165,0.3999999999999999,0,0.5722005329367292,0.8060302311125666,0.5757203941253021,0.32719836400818,0.8242424242424242,0.14510483530551094
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,1,test,subject_norm,654,489,165,0.39999999999999997,0,0.6356323975955878,0.8359828524452924,0.6042387060791968,0.3660531697341513,0.8424242424242424,0.19518898608570778
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,2,train,population_norm,2052,1506,546,0.35,0,0.6757658012638093,0.8484619503137527,0.6021664258716051,0.37649402390438247,0.8278388278388278,0.19323362837530847
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,2,val,population_norm,520,383,137,0.35,0,0.5324083779611595,0.7957306222273031,0.5695717634502868,0.2924281984334204,0.8467153284671532,0.14048869387679463
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,2,test,population_norm,639,480,159,0.35,0,0.5503799790356394,0.7835199222327646,0.5616352201257861,0.4,0.7232704402515723,0.11042555820980415
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,2,test,subject_norm,639,480,159,0.35,0,0.5491745283018868,0.7661667975701439,0.5305817610062893,0.275,0.7861635220125787,0.06030135237352324
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,3,train,population_norm,2020,1489,531,0.3,0,0.5730643678248144,0.795623793010261,0.5337604454006089,0.8226997985224983,0.2448210922787194,0.07501090257265045
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,3,val,population_norm,550,405,145,0.3,0,0.5983141762452107,0.8142284003415343,0.579225202213708,0.7308641975308642,0.42758620689655175,0.15082981715225438
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,3,test,population_norm,641,475,166,0.3,0,0.49913760304375393,0.7687272694935406,0.47802155992390616,0.7873684210526316,0.1686746987951807,-0.0480283729001107
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,3,test,subject_norm,641,475,166,0.3,0,0.4762206721623336,0.7598147401595159,0.5,1.0,0.0,0.0
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,4,train,population_norm,2093,1554,539,0.15,0,0.7539929274623152,0.8925586075800421,0.5879966237109094,0.9774774774774775,0.19851576994434136,0.3060152628143466
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,4,val,population_norm,465,346,119,0.15,0,0.5626366153397775,0.7644496972428971,0.6089279642492835,0.7976878612716763,0.42016806722689076,0.21726048384682425
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,4,test,population_norm,653,469,184,0.15,0,0.5342426068415685,0.7257173420339631,0.502839065541856,0.8208955223880597,0.18478260869565216,0.006638697080237635
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,4,test,subject_norm,653,469,184,0.15,0,0.5610341151385927,0.7723989226553596,0.49962338926485583,0.9829424307036247,0.016304347826086956,-0.002633020055879102
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,5,train,population_norm,2110,1565,545,0.35,0,0.7084081249816807,0.8717883437734583,0.5764574845384999,0.18594249201277954,0.9669724770642202,0.1893081568859249
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,5,val,population_norm,477,348,129,0.35,0,0.5241691169918916,0.7551744581721468,0.5575380914194066,0.27011494252873564,0.8449612403100775,0.11985721618915529
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,5,test,population_norm,624,456,168,0.35,0,0.593188700918964,0.7993732329448773,0.5557644110275689,0.21271929824561403,0.8988095238095238,0.1280226061236493
run_cpu_families,imagebind,motion_prev_depth,attn_pool_mlp,5,test,subject_norm,624,456,168,0.35,0,0.6278456558061821,0.802625226139136,0.5717418546365914,0.2982456140350877,0.8452380952380952,0.14516474731529336
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,1,train,population_norm,2059,1519,540,0.3999999999999999,0,0.6503974349596469,0.8362736874801806,0.5661735303440373,0.24160631994733378,0.8907407407407407,0.1437117160756997
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,1,val,population_norm,498,361,137,0.3999999999999999,0,0.6151808641850496,0.8280989983624796,0.6033018581798331,0.4182825484764543,0.7883211678832117,0.192044644792155
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,1,test,population_norm,654,489,165,0.3999999999999999,0,0.5946458449525934,0.816406877720951,0.5728016359918201,0.3456032719836401,0.8,0.13687452784029625
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,1,test,subject_norm,654,489,165,0.39999999999999997,0,0.6172274896201276,0.8384891814779625,0.5830637664993493,0.3721881390593047,0.793939393939394,0.15341721216763124
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,2,train,population_norm,2052,1506,546,0.7,0,0.7347970754345257,0.8864348119630485,0.5683930942895086,0.13678618857901725,1.0,0.20114145958207602
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,2,val,population_norm,520,383,137,0.7,0,0.4696308437041413,0.762524469334273,0.561148062739418,0.18798955613577023,0.9343065693430657,0.14855853198338856
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,2,test,population_norm,639,480,159,0.7,0,0.5030136268343814,0.743754427570105,0.5112421383647798,0.09166666666666666,0.9308176100628931,0.03465854561550382
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,2,test,subject_norm,639,480,159,0.7,0,0.5023977987421383,0.733675448856956,0.4840801886792453,0.0625,0.9056603773584906,-0.05380066123411617
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,3,train,population_norm,2020,1489,531,0.3999999999999999,0,0.6727818187107211,0.8416638726077348,0.5564168623894751,0.1994627266621894,0.9133709981167608,0.13228784539836846
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,3,val,population_norm,550,405,145,0.3999999999999999,0,0.5004171988080034,0.7586050925840997,0.5363558961260111,0.12098765432098765,0.9517241379310345,0.1059397330700279
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,3,test,population_norm,641,475,166,0.3999999999999999,0,0.5954090044388078,0.7800270030501273,0.504990488268865,0.1726315789473684,0.8373493975903614,0.01163870923183406
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,3,test,subject_norm,641,475,166,0.39999999999999997,0,0.6413316423589093,0.8274754823021861,0.5105263157894737,0.021052631578947368,1.0,0.07442049589567769
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,4,train,population_norm,2093,1554,539,0.4999999999999999,0,0.86184435164027,0.9415365506052118,0.730987480987481,0.5398970398970399,0.922077922077922,0.40916555307558466
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,4,val,population_norm,465,346,119,0.4999999999999999,0,0.5023801428085686,0.7685300333376797,0.5414217710205469,0.23410404624277456,0.8487394957983193,0.08831044014409485
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,4,test,population_norm,653,469,184,0.4999999999999999,0,0.5223996477241124,0.7351547061581224,0.5260498748493557,0.2260127931769723,0.8260869565217391,0.05741003504525717
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,4,test,subject_norm,653,469,184,0.49999999999999994,0,0.578798553814777,0.7604665379948139,0.5814464169834059,0.39658848614072495,0.7663043478260869,0.15356655527242782
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,5,train,population_norm,2110,1565,545,0.25,0,0.6946437260017,0.8645503236056709,0.6140487147170033,0.4134185303514377,0.8146788990825689,0.20870673321951994
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,5,val,population_norm,477,348,129,0.25,0,0.6080370667379489,0.8388858475094094,0.6148088746324512,0.5862068965517241,0.6434108527131783,0.20422410422752513
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,5,test,population_norm,624,456,168,0.25,0,0.5546679197994988,0.7771456525901411,0.5698621553884712,0.34210526315789475,0.7976190476190477,0.1346751205603438
run_cpu_families,imagebind,motion_prev_depth,rnn_attn,5,test,subject_norm,624,456,168,0.25,0,0.64078164160401,0.8251575243250617,0.5825501253132832,0.42105263157894735,0.7440476190476191,0.1511388324387518
run_cpu_families,imagebind,motion_prev_rgb,attn_pool_mlp,1,train,population_norm,2059,1519,540,0.25,0,0.8353753687855071,0.9288343095629434,0.7313498159120279,0.5997366688610928,0.8629629629629629,0.4074315581673295
run_cpu_families,imagebind,motion_prev_rgb,attn_pool_mlp,1,val,population_norm,498,361,137,0.25,0,0.7519865741957661,0.8763608263277947,0.6734739268455425,0.7119113573407202,0.635036496350365,0.3186340754212686
run_cpu_families,imagebind,motion_prev_rgb,attn_pool_mlp,1,test,population_norm,654,489,165,0.25,0,0.6166821590134474,0.8128668814706155,0.5906860011154489,0.6298568507157464,0.5515151515151515,0.15982713537764345
run_cpu_families,imagebind,motion_prev_rgb,attn_pool_mlp,1,test,subject_norm,654,489,165,0.25,0,0.6580405279791783,0.8398232018224703,0.6188696783788808,0.6134969325153374,0.6242424242424243,0.20770730652708508
run_cpu_families,imagebind,motion_prev_rgb,attn_pool_mlp,2,train,population_norm,2052,1506,546,0.25,0,0.8493826890241234,0.938021597694295,0.7626672795995505,0.7689243027888446,0.7564102564102564,0.4806061563541724
run_cpu_families,imagebind,motion_prev_rgb,attn_pool_mlp,2,val,population_norm,520,383,137,0.25,0,0.7379314287892359,0.8869297339861906,0.6800613672314231,0.5718015665796344,0.7883211678832117,0.3176142047589552
run_cpu_families,imagebind,motion_prev_rgb,attn_pool_mlp,2,test,population_norm,639,480,159,0.25,0,0.697667714884696,0.8809684935780164,0.6306407232704403,0.7895833333333333,0.4716981132075472,0.25286045974662646
